discount_id,product_id,discount_percentage,start_date,end_date,day_of_week,campaign_name
73,2028,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
74,2028,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
75,800,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
76,800,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
77,688,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
78,688,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
79,2867,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
80,2867,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
81,3062,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
82,3062,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
83,3759,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
84,3759,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
85,2119,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
86,2119,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
87,2125,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
88,2125,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
89,2129,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
90,2129,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
91,2711,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
92,2711,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
93,2408,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
94,2408,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
95,1124,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
96,1124,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
97,2895,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
98,2895,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
99,3031,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
100,3031,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
101,3700,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
102,3700,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
103,3701,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
104,3701,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
105,3899,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
106,3899,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
107,3902,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
108,3902,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
109,3917,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
110,3917,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
111,3913,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
112,3913,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
113,3683,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
114,3683,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
115,1729,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
116,1729,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
117,2807,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
118,2807,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
119,1826,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
120,1826,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
121,1816,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
122,1816,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
123,1820,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
124,1820,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
125,3495,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
126,3495,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
127,2788,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
128,2788,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
129,400,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
130,400,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
131,3272,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
132,3272,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
133,2018,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
134,2018,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
135,3499,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
136,3499,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
137,2030,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
138,2030,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
139,2363,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
140,2363,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
141,2359,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
142,2359,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
143,2361,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
144,2361,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
145,100,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
146,100,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
147,3590,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
148,3590,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
149,675,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
150,675,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
151,2792,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
152,2792,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
153,1841,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
154,1841,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
155,1827,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
156,1827,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
157,1794,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
158,1794,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
159,2921,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
160,2921,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
161,1452,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
162,1452,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
163,1839,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
164,1839,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
165,133,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
166,133,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
167,3869,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
168,3869,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
169,2798,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
170,2798,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
171,827,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
172,827,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
173,2486,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
174,2486,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
175,1219,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
176,1219,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
177,2503,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
178,2503,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
179,3344,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
180,3344,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
181,4005,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
182,4005,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
183,857,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
184,857,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
185,1439,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
186,1439,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
187,3990,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
188,3990,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
189,2529,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
190,2529,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
191,2411,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
192,2411,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
193,3377,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
194,3377,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
195,3559,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
196,3559,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
197,1221,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
198,1221,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
199,4030,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
200,4030,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
201,661,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
202,661,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
203,2916,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
204,2916,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
205,3182,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
206,3182,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
207,1121,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
208,1121,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
209,1122,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
210,1122,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
211,666,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
212,666,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
213,452,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
214,452,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
215,267,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
216,267,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
217,1477,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
218,1477,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
219,1588,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
220,1588,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
221,1050,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
222,1050,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
223,3761,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
224,3761,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
225,745,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
226,745,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
227,2784,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
228,2784,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
229,3597,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
230,3597,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
231,174,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
232,174,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
233,1760,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
234,1760,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
235,43,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
236,43,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
237,44,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
238,44,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
239,3067,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
240,3067,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
241,3901,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
242,3901,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
243,845,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
244,845,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
245,1632,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
246,1632,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
247,1630,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
248,1630,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
249,2219,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
250,2219,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
251,1666,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
252,1666,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
253,1665,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
254,1665,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
255,3858,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
256,3858,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
257,818,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
258,818,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
259,889,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
260,889,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
261,1171,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
262,1171,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
263,1170,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
264,1170,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
265,1167,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
266,1167,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
267,1822,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
268,1822,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
269,3600,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
270,3600,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
271,2293,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
272,2293,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
273,2015,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
274,2015,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
275,3883,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
276,3883,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
277,1828,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
278,1828,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
279,738,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
280,738,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
281,1975,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
282,1975,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
283,3916,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
284,3916,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
285,1205,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
286,1205,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
287,1705,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
288,1705,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
289,1444,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
290,1444,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
291,1271,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
292,1271,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
293,205,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
294,205,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
295,1381,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
296,1381,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
297,1717,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
298,1717,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
299,1380,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
300,1380,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
301,2964,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
302,2964,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
303,79,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
304,79,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
305,765,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
306,765,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
307,3765,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
308,3765,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
309,3124,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
310,3124,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
311,3126,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
312,3126,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
313,2854,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
314,2854,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
315,388,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
316,388,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
317,2796,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
318,2796,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
319,418,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
320,418,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
321,1757,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
322,1757,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
323,1908,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
324,1908,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
325,3378,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
326,3378,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
327,1793,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
328,1793,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
329,1792,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
330,1792,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
331,2966,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
332,2966,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
333,1626,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
334,1626,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
335,2413,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
336,2413,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
337,1002,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
